"Entity type","Term","ID","Print name","Parents","Definition","Expanded definition","Example usage","See also","Synonyms","Acronym","Notes"
"TYPE","LABEL","ID","","SC % SPLIT=,","A skos:definition","","A schema:example","","A skos:altLabel SPLIT=|","A skos:altLabel SPLIT=|",""
"Class","data","DATAHUB:0000100","Data","","Data refers to raw facts, values, or information that can be collected, stored, processed, and analyzed. It can be structured (organized in a fixed format) or unstructured (freeform and not organized into predefined models). Data becomes useful information when it is processed and interpreted.","","","","","",""
"Class","metadata","DATAHUB:0000101","","data","Metadata is data that describe data","","","","","",""
"Class","FAIR data","DATAHUB:0000102","","findable data, accessible data, interoperable data, reusable data","FAIR data is data that follows the FAIR principles, which stand for:

- Findable
- Accessible
- Interoperable
- Reusable

These principles ensure that data is well-structured, machine-readable, and reusable across different platforms, making it useful for research, industry, and long-term data management.","","","","Findable, Accessible, Interoperable, Reusable Data","",""
"Class","findable data","DATAHUB:0000103","","data","Findable data is data that is adequately described by rich metadata, assigned a globally unique and persistent identifier, and registered or indexed in a searchable resource, enabling both humans and machines to locate and identify the data.","","The RADx study’s de-identified dataset was made findable by assigning a DOI, registering it in the RADx Data Hub catalog, and ensuring the metadata followed a standardized schema to support keyword and faceted search.","","Discoverable Data|Searchable Data","",""
"Class","accessible data","DATAHUB:0000104","","data","Accessible data are data that can be retrieved using standardized communication protocols, and is made available under clear access conditions, ensuring that both humans and machines can obtain, use, or request the data, even if access is restricted or controlled.","Key aspects of accessible data are:

Data are stored in a location that supports retrieval via standard protocols (e.g., HTTPS, FTP, API).

Access conditions are clearly specified, including:

- Open access (freely available).
- Controlled access (requires request and approval).
- Restricted access (limited to designated users).

Even if the data itself is not openly accessible, its metadata must remain accessible so users can discover its existence and understand the conditions for obtaining access.

Accessibility supports both human-readable access (via web interfaces) and machine-readable access (via APIs or metadata harvesters).","The de-identified RADx dataset was made accessible through the RADx Data Hub, where its metadata includes a persistent URL and a description of access conditions (open or controlled access).","","Obtainable Data|Retrievable Data","",""
"Class","interoperable data","DATAHUB:0000105","","data","Interoperable data are data that is formatted and described using widely accepted standards, and is structured in a way that allows them to be integrated with other datasets and understood, interpreted, and processed by both humans and machines across different systems, tools, and domains.","Key aspects of interoperable data are:

Data and metadata use standard vocabularies, ontologies, and controlled terminologies (e.g., MeSH).

Data formats follow well-defined and widely adopted standards (e.g., CSV, JSON, XML).

Metadata includes qualified references to external standards or ontologies (e.g., terms mapped to established data dictionaries).","The study team ensured their RADx data submission was interoperable by using standard variable names from the RADx Common Data Elements.","","Standards-compliant Data||Machine-Interpretable Data||Integration-Ready Data","",""
"Class","reusable data","DATAHUB:0000106","","data","Reusable data are data that is richly described with clear metadata, usage licenses, and provenance information, and is organized, documented, and formatted in a way that allows them to be understood, interpreted, and applied for new analyses, replication, or integration beyond the context of its original collection.","Key aspects of reusable data are:

Described by rich metadata that explains the context of collection, methodology, variables, and units.

Includes clear provenance information, showing the origin, processing history, and transformations applied to the data.

Accompanied by an explicit license or terms of use, specifying how the data can be reused, including any restrictions.

Organized according to widely accepted standards to maximize usability across tools, systems, and domains.

Enables future use for:
    - New research questions.
    - Secondary analysis.
    - Meta-analysis or combined analysis with other datasets.
    - Validation and replication studies.
","The RADx study ensured its data was reusable by providing comprehensive metadata, clear data dictionaries, detailed documentation of the study methods, and a license specifying how others could use the data.","","Reusable Research Data|Secondary Use Data|Analysis-Ready Data|","",""
"Class","harmonized data","DATAHUB:0000107","","data","Harmonized data is data that has been transformed and standardized according to predefined rules or standards, enabling consistent use across separate studies.","","","","Standardized Data|Aligned Data|Transformed Data","",""
"Class","tabular data","DATAHUB:0000108","","data","Tabular data is data that is organized into a structure of rows and columns, where each row represents a single record or observation, and each column represents a distinct variable or attribute measured across all records.","","","","Structured Data Table|Data Table|Rectangular Data","",""
