"Entity type","Term","ID","Print name","Media type (if file)","Parents","Definition","Expanded definition","Example usage","See also","Synonyms","Acronym","Notes"
"TYPE","LABEL","ID","","SC hasMediaType value %","SC % SPLIT=,","A skos:definition","","A schema:example","","A skos:altLabel SPLIT=\\\n","",""
"Class","digital file","DATAHUB:00000008","","","","A digital file is a digital object that contains encoded information stored in a computer-readable format, organized according to a specific file format and accessible by software applications capable of interpreting that format.","Key aspects of a digital file are:

A digital file exists as a named entity within a digital storage system (e.g., filesystem, repository).

A digital file is encoded in a particular file format (e.g., CSV, JSON, XML, PDF).

A digital file contains structured, semi-structured, or unstructured information.

A digital file requires software capable of interpreting the encoding in order to be meaningfully accessed and understood.

A digital file may contain data, metadata, code, text, images, or other digital content.","The study team submitted each data file as a digital file in CSV format to the RADx Data Hub","","Computer File
Electronic File
File","","has format: File Format
part of: File Bundle (in data submission contexts)
described by: File Metadata
stored in: Digital Repository or Filesystem
used in: Data Submission, Data Archiving, Data Sharing"
"Class","generic data file","DATAHUB:00000001","Generic Data File","","digital file","A generic data file is a digital file that contains structured or unstructured data stored in a defined format, making it suitable for storage, processing, analysis, or exchange between systems. A data file may contain tabular data (rows and columns), text data, numerical data, binary data, or multimedia data, depending on the file format and intended use.","","","","dataset file
study data file","",""
"Class","plain text file","DATAHUB:00000002","Plain Text File","text/plain","generic data file","A plain text file is a type of data file that contains unformatted text encoded using a character set such as UTF-8 or ASCII. The file consists solely of readable characters, line breaks, and optional delimiters, without embedded formatting, styles, or binary data. Plain text files are commonly used for storing structured or unstructured data, including data tables, logs, or configuration files, and they are compatible with a wide range of systems and software applications.","","","","","Text File
ASCII File
",""
"Class","tabular data file","DATAHUB:00000003","Tabular Data File","","generic data file","A tabular data file is a digital file that stores data structured into rows and columns, where each row represents a single record and each column represents a variable describing attributes of those records.","","","","","",""
"Class","csv file","DATAHUB:00000004","","text/csv","plain text file, tabular data file","A CSV file is a plain text file that stores tabular data, where each line represents a single record and fields (columns) within the record are separated by commas. CSV files are commonly used for data exchange between software applications because they are simple, lightweight, and widely supported across many systems, including spreadsheets, databases, and data analysis tools.","The key characteristics of a CSV file are:

- File extension: .csv
- Field delimiter: Comma (,), though variations may use semicolons or tabs.
- Data format: Each row represents a record, and each record has the same number of fields.
- Headers: Often the first row contains column names.","","","","",""
"Class","generic data dictionary file","DATAHUB:00000019","Generic Data Dictionary File","","metadata file","A Generic Data Dictionary File is a data dictionary file that provides a structured description of the variables contained in an associated data file, including each variable’s name, definition, data type, permissible values, and other descriptive metadata, without being bound to a specific data dictionary standard.","","","","Variable Definition File","",""
"Class","radx data dictionary file","DATAHUB:00000005","Data Dictionary File","","csv file, generic data dictionary file, radx datahub file","A RADx Data Dictionary File is a data dictionary file that is formatted in accordance with the RADx data dictionary specification.  It provides structured descriptions of the variables contained in an associated RADx data file, including each variable’s name, definition, permissible values, data type, and other descriptive metadata, in accordance with RADx data submission standards.","","","","","",""
"Class","radx data file","DATAHUB:00000006","RADx Data File","","csv file, radx datahub file","A data file that contains data that has been directly, or indirectly, produced or generated by a RADx research study.  All RADx data files in the RADx data hub are CSV tabular data files.","","","","Dataset File
Data Record File
Digital Data File
Dataset","",""
"Class","documentation file","DATAHUB:00000007","Documentation File","","generic data file","A documentation file is a digital file that contains descriptive, procedural, or contextual information associated with a research study or dataset, including materials such as README files, study protocols, and other explanatory resources, intended to support understanding, reuse, and secondary analysis of the data.","","Each study submission to the RADx Data Hub includes documentation files such as the study protocol, a README file describing the submitted data, and a data dictionary.","","study document
data documentation","",""
"Class","image file","DATAHUB:00000009","","","generic data file","An image file is a data file containing visual data, such as photographs, scans, or graphs, used to complement research findings or provide additional context.","","","","visual data file
picture file","",""
"Class","JSON file","DATAHUB:00000010","","application/json","generic data file","A JSON file is a digital file that stores structured data encoded using the JavaScript Object Notation (JSON) format, where data is represented as key-value pairs organized into nested objects and arrays.","JSON Document","","","","",""
"Class","JSON-LD file","DATAHUB:00000011","","application/ld+json","JSON file","A JSON-LD file is a JSON file that stores data encoded in the JSON-LD format, where data is represented as structured JSON objects enriched with a semantic context that links fields to terms from vocabularies or ontologies, enabling machine-readable meaning and data integration across systems.","In RADx, JSON-LD is used as the serialization format for datafile metadata files.","","","Linked Data File (in JSON format)
JSON-LD Document
Contextualized JSON File","",""
"Class","metadata file","DATAHUB:00000012","","","documentation file","A metadata file is a digital file that contains metadata.","","","","descriptor file,
data descriptor","",""
"Class","radx meta file","DATAHUB:00000013","RADx META file","","JSON-LD file, metadata file, radx datahub file","A RADx META file is a metadata file that is formatted in JSON-LD and provides structured descriptions of the attributes and contents of a RADx data file.","","","","","",""
"Class","origcopy file","DATAHUB:00000014","","","radx data file","The original version of a data file as provided by the Awardee, reflecting their initial coding decisions.","","","","","",""
"Class","transformcopy file","DATAHUB:00000015","","","radx data file, tier 1 data file","A transformcopy file is a RADx data file that contains data that is derived from an origcopy file.  Transformcopy files contain Tier 1 data.","","","","","",""
"Class","readme file","DATAHUB:00000016","","","documentation file","A README file is a digital file that provides descriptive, contextual, and instructional information about the contents, structure, and intended use of a RADx study data, typically serving as the primary documentation file for users.","","","","","",""
"Class","supplemental data file","DATAHUB:00000017","","","generic data file","Non-structured files outside the main data bundles that provide context or support for the primary study data.","","","","","",""
"Class","tier 1 data file","DATAHUB:00000018","Tier 1 Data File","","radx data file","","","","","","",""
"Class","radx datahub file","DATAHUB:00000021","RADx File","","generic data file","","","","","","",""
