"Entity type","Term","ID","Print name","Parents","Definition","Expanded definition","Example usage","See also","Synonyms","Acronym","Notes"
"TYPE","LABEL","ID","","SC % SPLIT=,","A skos:definition","","A schema:example","","A skos:altLabel SPLIT=|","",""
"Class","repository","DATAHUB:0002001","","","","","","","","",""
"Class","radx awardee","DATAHUB:0002005","RADx Awardee","","A RADx awardee is an organization or entity that has received funding under the RADx Program to conduct research and provide study data.","A RADx awardee is an organization, institution, company, or research entity that has successfully secured competitive funding under the National Institutes of Health's RADx Program. These awardees include academic research institutions, biotechnology startups, established diagnostic companies, and public-private partnerships selected through a rigorous evaluation process based on scientific merit, technical feasibility, and potential for rapid impact.","","","grantee|funding recipient","",""
"Class","ontology repository","DATAHUB:0002006","Ontology Repository","repository","","","","","","",""
"Class","co-investigator","DATAHUB:0002010","Co-Investigator","role","A Co-Investigator is a key member of a research team who plays a significant role in the design, execution, and/or management of a project, but is not the primary lead. The Principal Investigator (PI) is the person officially in charge of the project, while Co-Investigators work alongside the PI, contributing their expertise and helping ensure the project’s success.","","","","","Co-I",""
"Class","contact principal investigator","DATAHUB:0002011","Contact PI","role","A  Contact Principal Investigator (Contact PI) is the lead PI responsible for official communication between a research team and the funding agency, such as the NIH. This role typically comes into play in multi-PI grants, where two or more PIs share responsibility for leading the project.","","","","Contact PI","",""
"Class","content rules for data submitters","DATAHUB:0002012","","radx standard operating procedure","Guidelines detailing how data files should be structured and formatted for submission to the RADx Data Hub.","","","","","",""
"Class","COVID-19 testing","DATAHUB:0002013","","study focus","A focus of RADx Program-funded research studies, involving efforts to enhance and analyze testing strategies and data.","","","","","",""
"Class","role","DATAHUB:0002014","","","","","","","","",""
"Class","curator","DATAHUB:0002015","","role","A RADx Data Hub Curator is a designated member of the RADx Support Team responsible for facilitating and overseeing the submission of data to the RADx Data Hub. The curator’s responsibilities include providing expert guidance to data contributors, answering technical and procedural inquiries, advising on data formatting and de-identification standards, conducting comprehensive reviews of submitted datasets for accuracy, completeness, and compliance with data submission requirements, and granting formal approval for data to be ingested into the RADx Data Hub.","The RADx curator role is specific to the RADx Initiative, which accelerates diagnostic development and ensures that COVID-19 diagnostic data is standardized, de-identified, and accessible through the RADx Data Hub for research and public health purposes.

Key Responsibilities:

Responding to submitter questions about data structure and standards.
Advising submitters on de-identification best practices.
Conducting pre-ingestion review of submitted data.
Approving compliant submissions for final inclusion in the RADx Data Hub.","","","Data Curator|Submission Assistant|RADx Curator|RADx Data Curator|Data Submission Curator (RADx)","","Parent Term: Data Curator (OBI:0002329) (if aligning with an existing ontology like OBI - Ontology for Biomedical Investigations)"
"Class","data collection form","DATAHUB:0002016","","study document","Forms used to record data during a study, often detailing specific variables or measurements.","","","","","",""
"Class","data principal investigator","DATAHUB:0002018","Data Principal Investigator","principal investigator","A Data Principal Investigator (Data PI) is a designated individual who holds primary responsibility for the management, quality assurance, and compliance of a specific dataset produced or submitted in the context of a research project or data-sharing initiative. The Data PI ensures that the data is accurate, complete, well-documented, and adheres to all applicable standards, regulations, and policies governing data collection, curation, and sharing. The Data PI also serves as the primary point of contact for questions related to the dataset’s content, provenance, and interpretation.","","","","Data PI|Data Custodian|Lead Data Submitter","Data PI",""
"Class","data repository","DATAHUB:0002019","Data Repository","repository","A data repository is a repository that is specifically designed to store, organize, preserve, and manage access to digital data and its associated metadata.","","","","Data Archive|Data Registry|Data Sharing Platform|Data Repository System","","has a data access policy"
"Class","research data repository","DATAHUB:0002020","Research Data Repository","data repository","A research data repository is a data repository that contains research data that is the product of a research study.","","","","","",""
"Class","data use agreement","DATAHUB:0002022","","","A data use agreement is a type of formal agreement executed between RADx and the user, specifying the terms and conditions for using RADx Data Hub study data in secondary research","","","","DUA|Use agreement|Research data use agreement|Secondary data use agreement","",""
"Class","data versioning","DATAHUB:0002024","","","The process of managing updates to data files in the RADx Data Hub by ensuring that new versions replace previous ones without disrupting system integrity.","","","","file updates|dataset replacement","",""
"Class","license","DATAHUB:0002096","","","A license is a legal agreement that specifies the permissions and restrictions associated with the use, modification, or distribution of software","","","","","",""
"Class","data wrangler license","DATAHUB:0002025","","license","A permission granted to RADx Data Hub users for using advanced analytics tools, such as SAS or Data Wrangler, for enhanced data processing capabilities.","","","","license request|analytics license","",""
"Class","dbGaP access procedure","DATAHUB:0002027","","radx standard operating procedure","A mechanism for requesting access to sensitive data hosted in the RADx Data Hub. dbGaP provides controlled access to human subject data in compliance with Data Use Certification Agreements.","","","","genotype and phenotype database access|dbGaP permissions","",""
"Class","identifier","DATAHUB:0002080","","","","","","","","",""
"Class","digital object identifier (DOI)","DATAHUB:0002028","","identifier","A Digital Object Identifier (DOI) is a persistent digital identifier that is assigned to an object (such as a publication, dataset, or software) to provide a globally unique, permanent, and resolvable reference to that object, even if its location or ownership changes over time.","","","","Persistent Digital Identifier|Global Object Identifier","DOI",""
"Class","user account","DATAHUB:0002100","","","A user account is a digital artifact that enables an agent to access and interact with a system under an identifiable identity, characterized by a set of credentials, permissions, and associated data.","","","","","",""
"Class","era commons account","DATAHUB:0002029","eRA Commons Account","user account","An eRA Commons account is a user account in the eRA commons system, which  is a user credential system that provides authenticated access to NIH electronic services, distinguishing itself by being required for submitting grant-related information, requesting access to sensitive biomedical data such as in the RADx Data Hub, and registering research studies.","","","","researcher account|NIH login|electronic Research Administration account","",""
"Class","file bundle","DATAHUB:0002031","","","A file bundle is a collection of related files that together represent a complete data submission unit, consisting of at least one data file, its associated data dictionary, and accompanying metadata.","","Each study submitted to the RADx Data Hub must provide a file bundle that includes a data file (DATA), a corresponding data dictionary (DICT), and submission metadata (META).","","Data Submission Package|Data File Bundle|Study File Package","",""
"Class","health insurance portability and accountability act (hipaa)","DATAHUB:0002034","","","A U.S. law regulating the privacy and security of individually identifiable health information. It governs how this information can be used, shared, and maintained by covered entities.","","","","HIPAA|health data regulation","",""
"Class","investigator","DATAHUB:0002035","","role","An individual conducting a study or project, often a clinician, researcher, or partner involved in RADx-funded studies.","","","","researcher|clinical investigator|","",""
"Class","study identifier","DATAHUB:0002036","","identifier","A Study Identifier is a unique alphanumeric code or reference string assigned to a research study to unambiguously identify it within a specific system, repository, or administrative context. Study identifiers are used to track, reference, and manage the study throughout its lifecycle, from registration and data submission to publication, reporting, and data sharing. Study identifiers may be assigned by funding agencies, regulatory bodies, data repositories, or institutional review boards, and may follow domain-specific conventions, such as a ClinicalTrials.gov NCT Number or a dbGaP PHS Number.","","","","","",""
"Class","PHS number","DATAHUB:0002037","","study identifier","A PHS Number is a unique study identifier assigned by the Database of Genotypes and Phenotypes (dbGaP) to a registered study upon approval for data submission and sharing. The identifier allows for the tracking, referencing, and management of the study’s data, metadata, and access policies within the dbGaP system. The PHS Number follows a standardized format, typically including the prefix phs, a unique numeric string, a version number, and a part number (e.g., phs002345.v1.p1). In the context of RADx and other NIH-funded projects, the PHS Number serves as the official reference for the study in NIH data sharing systems, ensuring proper documentation and compliance with data sharing policies.","","","","PHS|dbGaP Study Accession|Public Health Study Number|dbGaP Identifier","",""
